Date : 2021-11-20 23:33:02
Directory : d:\BCA Project\TutorPod
Total : 103 files,  19296 codes, 153 comments, 935 blanks, all 20384 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         32 |      6,841 |          0 |        146 |      6,987 |
| Java       |         39 |      5,029 |        127 |        371 |      5,527 |
| CSS        |          2 |      4,503 |          0 |        187 |      4,690 |
| SCSS       |         14 |      2,454 |         17 |        194 |      2,665 |
| SQL        |          1 |        174 |          0 |          0 |        174 |
| XML        |          9 |        173 |          0 |         20 |        193 |
| JavaScript |          5 |        121 |          9 |         16 |        146 |
| Markdown   |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        103 |     19,296 |        153 |        935 |     20,384 |
| WebContent                                                                      |         63 |     14,266 |         26 |        563 |     14,855 |
| WebContent\Admin                                                                |         19 |      2,159 |          0 |         55 |      2,214 |
| WebContent\META-INF                                                             |          1 |          7 |          0 |          2 |          9 |
| WebContent\WEB-INF                                                              |          1 |        159 |          0 |         18 |        177 |
| WebContent\app                                                                  |         21 |      7,078 |         26 |        397 |      7,501 |
| WebContent\app\css                                                              |         16 |      6,957 |         17 |        381 |      7,355 |
| WebContent\app\js                                                               |          5 |        121 |          9 |         16 |        146 |
| WebContent\images                                                               |          7 |          7 |          0 |          0 |          7 |
| src                                                                             |         39 |      5,029 |        127 |        371 |      5,527 |
| src\com                                                                         |         39 |      5,029 |        127 |        371 |      5,527 |
| src\com\TutorPod                                                                |         39 |      5,029 |        127 |        371 |      5,527 |
| src\com\TutorPod\controller                                                     |          7 |      1,397 |         14 |         73 |      1,484 |
| src\com\TutorPod\dao                                                            |         15 |      2,537 |         82 |        253 |      2,872 |
| src\com\TutorPod\model                                                          |         17 |      1,095 |         31 |         45 |      1,171 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\BCA Project\TutorPod\README.md                                               | Markdown   |          1 |          0 |          1 |          2 |
| d:\BCA Project\TutorPod\WebContent\Admin\add-admin-bank-acc.jsp                 | HTML       |        164 |          0 |          4 |        168 |
| d:\BCA Project\TutorPod\WebContent\Admin\add-admin.jsp                          | HTML       |        117 |          0 |          3 |        120 |
| d:\BCA Project\TutorPod\WebContent\Admin\add-course.jsp                         | HTML       |        150 |          0 |          2 |        152 |
| d:\BCA Project\TutorPod\WebContent\Admin\add-subject.jsp                        | HTML       |        194 |          0 |          5 |        199 |
| d:\BCA Project\TutorPod\WebContent\Admin\edit-admin-bank-acc.jsp                | HTML       |        114 |          0 |          2 |        116 |
| d:\BCA Project\TutorPod\WebContent\Admin\edit-admin.jsp                         | HTML       |         77 |          0 |          1 |         78 |
| d:\BCA Project\TutorPod\WebContent\Admin\edit-course.jsp                        | HTML       |         81 |          0 |          1 |         82 |
| d:\BCA Project\TutorPod\WebContent\Admin\edit-subject.jsp                       | HTML       |        139 |          0 |          3 |        142 |
| d:\BCA Project\TutorPod\WebContent\Admin\footer.jsp                             | HTML       |          6 |          0 |          3 |          9 |
| d:\BCA Project\TutorPod\WebContent\Admin\header.jsp                             | HTML       |         30 |          0 |          2 |         32 |
| d:\BCA Project\TutorPod\WebContent\Admin\index.html                             | HTML       |        277 |          0 |          6 |        283 |
| d:\BCA Project\TutorPod\WebContent\Admin\index.jsp                              | HTML       |          6 |          0 |          2 |          8 |
| d:\BCA Project\TutorPod\WebContent\Admin\login.jsp                              | HTML       |         53 |          0 |          3 |         56 |
| d:\BCA Project\TutorPod\WebContent\Admin\see-admin-bank-acc.jsp                 | HTML       |        127 |          0 |          4 |        131 |
| d:\BCA Project\TutorPod\WebContent\Admin\see-admin-banks.html                   | HTML       |        190 |          0 |          2 |        192 |
| d:\BCA Project\TutorPod\WebContent\Admin\see-admins.jsp                         | HTML       |         77 |          0 |          3 |         80 |
| d:\BCA Project\TutorPod\WebContent\Admin\see-courses.jsp                        | HTML       |        183 |          0 |          6 |        189 |
| d:\BCA Project\TutorPod\WebContent\Admin\see-subjects.jsp                       | HTML       |         93 |          0 |          3 |         96 |
| d:\BCA Project\TutorPod\WebContent\Admin\sidebar.jsp                            | HTML       |         81 |          0 |          0 |         81 |
| d:\BCA Project\TutorPod\WebContent\META-INF\context.xml                         | XML        |          7 |          0 |          2 |          9 |
| d:\BCA Project\TutorPod\WebContent\WEB-INF\web.xml                              | XML        |        159 |          0 |         18 |        177 |
| d:\BCA Project\TutorPod\WebContent\account-settings.html                        | HTML       |        380 |          0 |          3 |        383 |
| d:\BCA Project\TutorPod\WebContent\account-settings.jsp                         | HTML       |      1,109 |          0 |          7 |      1,116 |
| d:\BCA Project\TutorPod\WebContent\app\css\_adminHeader.scss                    | SCSS       |         12 |          0 |          1 |         13 |
| d:\BCA Project\TutorPod\WebContent\app\css\_adminLogin.scss                     | SCSS       |         35 |          0 |          1 |         36 |
| d:\BCA Project\TutorPod\WebContent\app\css\_adminMain.scss                      | SCSS       |        105 |          0 |          1 |        106 |
| d:\BCA Project\TutorPod\WebContent\app\css\_adminSideBar.scss                   | SCSS       |        139 |          0 |          1 |        140 |
| d:\BCA Project\TutorPod\WebContent\app\css\_animations.scss                     | SCSS       |        201 |          0 |          6 |        207 |
| d:\BCA Project\TutorPod\WebContent\app\css\_globals.scss                        | SCSS       |      1,087 |          9 |        160 |      1,256 |
| d:\BCA Project\TutorPod\WebContent\app\css\_header.scss                         | SCSS       |        458 |          1 |          2 |        461 |
