"filename", "language", "HTML", "XML", "SQL", "JavaScript", "SCSS", "CSS", "Java", "Markdown", "comment", "blank", "total"
"d:\BCA Project\TutorPod\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\BCA Project\TutorPod\WebContent\Admin\add-admin-bank-acc.jsp", "HTML", 156, 0, 0, 0, 0, 0, 0, 0, 0, 4, 160
"d:\BCA Project\TutorPod\WebContent\Admin\add-admin.jsp", "HTML", 109, 0, 0, 0, 0, 0, 0, 0, 0, 3, 112
"d:\BCA Project\TutorPod\WebContent\Admin\add-course.jsp", "HTML", 142, 0, 0, 0, 0, 0, 0, 0, 0, 2, 144
"d:\BCA Project\TutorPod\WebContent\Admin\add-subject.jsp", "HTML", 186, 0, 0, 0, 0, 0, 0, 0, 0, 5, 191
"d:\BCA Project\TutorPod\WebContent\Admin\edit-admin-bank-acc.jsp", "HTML", 106, 0, 0, 0, 0, 0, 0, 0, 0, 2, 108
"d:\BCA Project\TutorPod\WebContent\Admin\edit-admin.jsp", "HTML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"d:\BCA Project\TutorPod\WebContent\Admin\edit-course.jsp", "HTML", 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"d:\BCA Project\TutorPod\WebContent\Admin\edit-subject.jsp", "HTML", 131, 0, 0, 0, 0, 0, 0, 0, 0, 3, 134
"d:\BCA Project\TutorPod\WebContent\Admin\footer.jsp", "HTML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\BCA Project\TutorPod\WebContent\Admin\header.jsp", "HTML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\BCA Project\TutorPod\WebContent\Admin\index.html", "HTML", 277, 0, 0, 0, 0, 0, 0, 0, 0, 6, 283
"d:\BCA Project\TutorPod\WebContent\Admin\index.jsp", "HTML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\BCA Project\TutorPod\WebContent\Admin\login.jsp", "HTML", 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
